0,0.00067178,-0.080422,0.11129,-0.03342,0.13247,-0.015794,-0.10078
100,0.00067178,-0.078361,0.098497,-0.033665,0.11396,-0.018351,-0.10078
200,0.00067178,-0.076298,0.085649,-0.033903,0.095566,-0.020867,-0.10078
300,0.00067178,-0.074233,0.072731,-0.034132,0.077309,-0.023329,-0.10078
400,0.00067178,-0.072164,0.059712,-0.034348,0.059243,-0.025716,-0.10078
500,0.00067178,-0.070093,0.046542,-0.034548,0.041447,-0.027997,-0.10078
600,0.00067178,-0.068017,0.033128,-0.034722,0.024044,-0.030121,-0.10078
700,0.00067178,-0.065937,0.019291,-0.034859,0.007247,-0.031996,-0.10078
800,0.00067178,-0.063854,0.0046315,-0.034935,-0.0085588,-0.033449,-0.10078
900,0.00067178,-0.061784,-0.011434,-0.03491,-0.022638,-0.034114,-0.10078
1000,0.00067178,-0.0598,-0.028667,-0.034771,-0.034502,-0.033552,-0.10078
1100,0.00067178,-0.058003,-0.052185,-0.034647,-0.045851,-0.032191,-0.10078
1200,0.00067178,-0.062843,-0.070104,-0.035376,-0.046594,-0.033677,-0.10078
1300,0.00067178,-0.068623,-0.076081,-0.035577,-0.049906,-0.038324,-0.10078
1400,0.00067178,-0.065035,-0.072388,-0.032373,-0.054256,-0.032154,-0.10078
1500,0.00067178,-0.056795,-0.06623,-0.028606,-0.060357,-0.025019,-0.10078
1600,0.00067178,-0.054299,-0.065753,-0.027767,-0.057371,-0.02696,-0.10078
1700,0.00067178,-0.053545,-0.073981,-0.027673,-0.041097,-0.028589,-0.10078
1800,0.00067178,-0.05295,-0.082361,-0.026979,-0.030752,-0.023366,-0.10078
1900,0.00067178,-0.055831,-0.07867,-0.028279,-0.032741,-0.026314,-0.10078
2000,0.001903,-0.060674,-0.065361,-0.030843,-0.043107,-0.031916,-0.10078
2100,0.0099315,-0.062264,-0.057447,-0.031631,-0.053893,-0.031174,-0.10078
2200,0.012982,-0.062073,-0.059157,-0.030962,-0.060172,-0.029264,-0.10078
2300,0.0080936,-0.05969,-0.058913,-0.030175,-0.059717,-0.029712,-0.10078
2400,0.00067178,-0.057261,-0.052494,-0.029506,-0.054784,-0.027462,-0.10078
2500,0.00067178,-0.062056,-0.052046,-0.030144,-0.056889,-0.02786,-0.10078
2600,0.00067178,-0.070529,-0.066299,-0.032027,-0.059408,-0.032603,-0.10078
2700,0.00067178,-0.074312,-0.085227,-0.032818,-0.058269,-0.033883,-0.10078
2800,0.00067178,-0.071887,-0.091007,-0.032025,-0.051927,-0.029731,-0.10078
2900,0.00067178,-0.072287,-0.075068,-0.02879,-0.051863,-0.030196,-0.10078
3000,0.00067178,-0.06508,-0.042934,-0.015296,-0.042986,-0.028069,-0.10078
3100,0.00067178,0.014294,-0.0098664,0.012947,0.026508,0.01187,-0.10078
3200,-0.0067501,0.10102,0.0088837,0.042279,0.13626,0.051278,-0.10078
3300,-0.010407,0.11478,0.010684,0.055014,0.1693,0.065985,-0.10078
3400,-0.0067501,0.053286,0.0074001,0.045139,0.083774,0.052704,-0.10078
3500,0.00067178,0.0074841,0.0099133,0.016253,0.00040187,0.023043,-0.10078
3600,0.00067178,-0.019444,0.015664,-0.021226,-0.02276,-0.025159,-0.10078
3700,0.0080936,-0.031602,0.015632,-0.051382,-0.023489,-0.058337,-0.10078
3800,0.01175,-0.041999,0.0084008,-0.067176,-0.027109,-0.066899,-0.10078
3900,0.0080936,-0.057742,0.0011638,-0.073687,-0.022813,-0.074658,-0.10078
4000,0.00067178,-0.057972,-0.0012003,-0.075189,-0.020698,-0.074541,-0.10078
4100,0.00067178,-0.05426,-0.0013946,-0.07332,-0.022312,-0.071407,-0.10078
4200,0.00067178,-0.060331,-0.0027192,-0.070042,-0.027141,-0.067067,-0.10078
4300,0.00067178,-0.066569,-0.0033059,-0.066349,-0.038568,-0.064543,-0.10078
4400,0.00067178,-0.059584,-0.001139,-0.062357,-0.048003,-0.059343,-0.10078
4500,0.00067178,-0.058974,0.00075926,-0.059826,-0.044883,-0.057859,-0.10078
4600,0.00067178,-0.062022,-0.00075819,-0.059373,-0.044629,-0.057675,-0.10078
4700,0.00067178,-0.057282,-0.0030687,-0.058404,-0.046873,-0.057955,-0.10078
4800,0.00067178,-0.049382,-0.0018751,-0.054631,-0.054097,-0.052978,-0.10078
4900,0.00067178,-0.049216,0.0014365,-0.050297,-0.056119,-0.046707,-0.10078
5000,0.00067178,-0.05414,0.0018682,-0.049386,-0.057915,-0.045909,-0.10078
5100,0.00067178,-0.057115,-0.0006633,-0.051578,-0.048133,-0.051337,-0.10078
5200,0.00067178,-0.05776,-0.0004515,-0.050329,-0.041563,-0.05198,-0.10078
5300,0.00067178,-0.057107,0.0044374,-0.032368,-0.04759,-0.047773,-0.10078
5400,0.00067178,0.023811,0.0072117,0.013507,-0.027611,0.01023,-0.027534
5500,-0.0067501,0.13679,0.0022402,0.068057,0.088707,0.085103,0.081798
5600,-0.010407,0.17484,-0.0036043,0.090729,0.14312,0.11366,0.15504
5700,-0.0067501,0.10683,0.0023521,0.068515,0.091137,0.067329,0.15504
5800,0.00067178,0.052126,0.021873,0.02872,-0.0082453,0.023142,0.15504
5900,0.00067178,0.026875,0.043378,-0.0035843,-0.024494,-0.0097129,0.15504
6000,0.0080936,0.012661,0.054582,-0.023181,-0.02999,-0.029264,0.15504
6100,0.01175,0.0032696,0.051026,-0.032543,-0.022794,-0.034219,0.15504
6200,0.0080936,-0.0078233,0.036347,-0.037965,-0.027905,-0.033615,0.15504
6300,0.00067178,-0.027806,0.019581,-0.044787,-0.038377,-0.044809,0.15504
6400,0.00067178,-0.043229,0.006451,-0.050962,-0.037452,-0.052939,0.15504
6500,0.00067178,-0.042055,-0.0075909,-0.054869,-0.032609,-0.050834,0.15504
6600,0.00067178,-0.039081,-0.026143,-0.059361,-0.025254,-0.056612,0.15504
6700,0.00067178,-0.039203,-0.038223,-0.06243,-0.024492,-0.065006,0.15504
6800,0.00067178,-0.036579,-0.03178,-0.059203,-0.032338,-0.058777,0.15504
6900,0.00067178,-0.030025,-0.015665,-0.053316,-0.044794,-0.046625,0.15504
7000,0.00067178,-0.026319,-0.008868,-0.052332,-0.048991,-0.047602,0.15504
7100,0.00067178,-0.027553,-0.012474,-0.055562,-0.049225,-0.056497,0.15504
7200,0.00067178,-0.026944,-0.012023,-0.05646,-0.054325,-0.057879,0.15504
7300,0.00067178,-0.024841,-0.0042556,-0.053261,-0.057177,-0.050336,0.15504
7400,0.00067178,-0.024467,-0.0009636,-0.05034,-0.061815,-0.046065,0.15504
7500,0.00067178,-0.026704,-0.006464,-0.049969,-0.065936,-0.049107,0.15504
7600,0.00067178,-0.026932,-0.009561,-0.049536,-0.060408,-0.049387,0.15504
7700,0.00067178,-0.030941,-0.0022311,-0.047983,-0.054169,-0.044651,0.15504
7800,0.00067178,-0.035509,0.0080418,-0.047628,-0.051936,-0.044799,0.15504
7900,0.00067178,-0.036356,0.0097253,-0.048265,-0.049598,-0.048256,0.15504
